contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,t2m,s0,market_price,type,vol,EFD,IFD,CNFD,delta,gamma,vega,theta
SPY210521C00385000,2021-03-19 16:56:59,385.0,15.24,15.4,15.45,-0.6999998,-4.391467,459.0,3963,0.18985795501708985,True,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,15.425,c,0.2005616292953491,15.433284212484569,15.416694746006357,15.42499635263296,0.5913628662685385,0.012520157979925632,60.20583287855047,-38.72514089880423
SPY210521C00386000,2021-03-19 16:13:58,386.0,14.42,14.66,14.7,-0.6199999,-4.1223397,403.0,8500,0.18677571044921876,True,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,14.68,c,0.19739669132232662,14.680360626864841,14.663710407513097,14.672043081718762,0.5794090481651415,0.012813930876938025,60.577433035768955,-38.39261363378009
SPY210521C00387000,2021-03-19 16:24:11,387.0,13.91,14.01,14.06,-0.34000015,-2.385966,544.0,0,0.18524984680175777,True,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,14.035,c,0.19570275402069093,14.020332958101074,14.003410574664569,14.01188015113014,0.5667940915930149,0.013018017606586258,60.944832791675516,-38.336641457865376
SPY210521C00388000,2021-03-19 17:18:28,388.0,13.02,13.28,13.33,-0.5799999,-4.264705,498.0,9812,0.18216760223388673,True,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,13.305,c,0.19241777324676512,13.30800285434053,13.29123706737227,13.299628508768201,0.554012693455059,0.013285964740291065,61.12992381020117,-37.8226277864571
SPY210521C00389000,2021-03-19 17:50:31,389.0,12.8,12.69,12.74,-0.43999958,-3.3232598,572.0,2785,0.1810079458618164,True,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,12.715,c,0.19122496700286862,12.723280643318917,12.706485537725987,12.71489190472754,0.5406807361953057,0.013416355312411987,61.319302043818844,-37.719368713001856
SPY210521C00390000,2021-03-19 17:56:57,390.0,12.01,11.96,12.0,-0.4699993,-3.7660203,1509.0,10313,0.17737639038085937,True,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,11.98,c,0.18746172046661375,11.98058107952963,11.963889883158851,11.972244540196149,0.5271450029550849,0.013734349052883472,61.51030843842655,-37.108674530186924
SPY210521C00391000,2021-03-19 17:55:03,391.0,11.51,11.43,11.48,-0.3899994,-3.2773058,458.0,3948,0.1769186312866211,False,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,11.455,c,0.18690152072906496,11.44194326564897,11.42520090500508,11.433581350237771,0.5133568796471054,0.01381593154881662,61.669767847404664,-37.103272637804004
SPY210521C00392000,2021-03-19 17:59:07,392.0,10.81,10.82,10.87,-0.5799999,-5.0921855,686.0,0,0.17487397399902344,False,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,10.844999999999999,c,0.18474075031280512,10.84946052385674,10.832911508929286,10.841194971033628,0.4992816099604205,0.01396390998856905,61.63969849613281,-36.63692354004546
SPY210521C00393000,2021-03-19 17:55:27,393.0,10.25,10.17,10.22,-0.18999958,-1.8199195,514.0,4420,0.1720053503417969,False,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,10.195,c,0.18170157146453852,10.202506018316257,10.186328015384916,10.19442550777179,0.4846629053369624,0.014182749040698368,61.606565304444594,-35.99502006699863
SPY210521C00394000,2021-03-19 17:53:23,394.0,9.74,9.55,9.58,-0.4800005,-4.6966777,454.0,1178,0.1690756921386719,False,REGULAR,USD,2021-05-21 00:00:00,0.15597340422687211,390.8500061035156,9.565000000000001,c,0.17875194835662844,9.56070250470713,9.544795989694766,9.552757371678778,0.469583652856814,0.014400447297481104,61.570510351278074,-35.369138658631044
