contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,t2m,s0,market_price,type,vol,EFD,IFD,CNFD,delta,gamma,vega,theta
SPY210618C00385000,2021-03-19 17:47:37,385.0,18.28,18.26,18.3,-0.059999466,-0.32715085,1333.0,0,0.19559520233154298,True,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,18.28,c,0.20061498165130615,18.28675328072446,18.273048559912386,18.279905018980322,0.5810773211752664,0.010198425528642807,74.68720471574521,-31.554838188387265
SPY210618C00386000,2021-03-19 17:15:52,386.0,17.33,17.43,17.49,-0.3899994,-2.2008996,19.0,7370,0.1920551986694336,True,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,17.46,c,0.19683649158477778,17.460421140022127,17.44674863582364,17.45358922111042,0.5713363339323196,0.010448383951558391,75.02225717235063,-31.12248756796966
SPY210618C00387000,2021-03-19 17:53:33,387.0,17.08,16.81,16.86,-0.6100006,-3.4482791,62.0,0,0.19071243865966797,True,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,16.835,c,0.19554650783538818,16.823068861007542,16.809307530764094,16.816192787052888,0.5609319834311488,0.010572660024165162,75.35829090068574,-31.079474266592705
SPY210618C00388000,2021-03-19 17:11:24,388.0,15.86,16.18,16.27,-1.0800009,-6.3754478,322.0,0,0.18976640319824223,True,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,16.225,c,0.1943213090896606,16.227662645501,16.2138598232952,16.22076594305355,0.5503268328723416,0.01066869792187047,75.54496974296484,-30.968412242478244
SPY210618C00389000,2021-03-19 17:57:36,389.0,15.51,15.58,15.66,-0.09999943,-0.64061135,1626.0,3623,0.18845416046142577,True,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,15.620000000000001,c,0.1930275144577026,15.626760527320773,15.612973245481014,15.619871676111025,0.5395895164185313,0.01077005786679376,75.7325534545214,-30.845907648171778
SPY210618C00390000,2021-03-19 17:54:32,390.0,15.08,14.91,14.97,0.019999504,0.13279884,758.0,0,0.1859517440795898,True,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,14.940000000000001,c,0.1906095094680786,14.94033713053102,14.92659487252218,14.933470880146828,0.528658109549011,0.010937164613324203,75.92205478446999,-30.54383132301601
SPY210618C00391000,2021-03-19 17:42:38,391.0,14.17,14.29,14.38,-0.52999973,-3.6054404,77.0,6094,0.18460898406982418,False,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,14.335,c,0.1890432367324829,14.324408450729228,14.31072023329432,14.317569262578692,0.5175471887362986,0.011054007224465189,76.0858357531072,-30.36317210263355
SPY210618C00392000,2021-03-19 17:11:18,392.0,13.35,13.58,13.64,-0.6199999,-4.438081,85.0,21409,0.18122156677246093,False,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,13.61,c,0.18575635051727296,13.613499725786813,13.60004351071678,13.606776386053381,0.5060175916498577,0.011247980905703545,76.09865866386691,-29.830623838334606
SPY210618C00393000,2021-03-19 15:25:56,393.0,11.98,13.0,13.08,-1.3000002,-9.789158,11.0,0,0.1800008758544922,False,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,13.04,c,0.18436347293853755,13.046157580677194,13.032847831750788,13.039507333021573,0.49451234122862175,0.011330873484715084,76.10850646819596,-29.599548491021498
SPY210618C00394000,2021-03-19 17:34:14,394.0,12.4,12.41,12.45,-0.49000072,-3.8014019,228.0,7286,0.17771208038330077,False,REGULAR,USD,2021-06-18 00:00:00,0.23802030799241955,390.8500061035156,12.43,c,0.18229606914520258,12.427174484294852,12.414010880215706,12.420597184146851,0.48263745957173354,0.011456817350215469,76.11711039001058,-29.25974253818525
