contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,t2m,s0,market_price,type,vol,EFD,IFD,CNFD,delta,gamma,vega,theta
SPY210416C00385000,2021-03-19 17:56:56,385.0,10.92,10.97,11.0,-0.30999947,-2.7604585,2424.0,71708,0.17707121765136719,True,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,10.985,c,0.19433655261993404,10.997562758408995,10.974735097509463,10.986160583793326,0.6281284920064123,0.019346428298476416,38.23428762823838,-56.32067437963605
SPY210416C00386000,2021-03-19 17:12:54,386.0,9.81,10.16,10.2,-0.60999966,-5.854123,1370.0,7906,0.17231052307128908,True,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,10.18,c,0.18899178981781006,10.184144995263928,10.160906251354605,10.172543062043939,0.610914889191541,0.020193960083959413,38.713549488236474,-55.607128906945334
SPY210416C00387000,2021-03-19 17:44:45,387.0,9.38,9.51,9.54,-0.53999996,-5.4435477,2337.0,8336,0.170479486694336,True,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,9.524999999999999,c,0.187124457359314,9.501961908588967,9.477777507763886,9.489893894931472,0.5914180418857331,0.02073938039664448,39.24711990305596,-55.99173466594
SPY210416C00388000,2021-03-19 17:51:26,388.0,8.91,8.71,8.74,-0.40000057,-4.2964616,3304.0,5589,0.16498637756347656,True,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,8.725000000000001,c,0.18106896495819091,8.726332350042897,8.702151656309358,8.714268923379901,0.5720325065055464,0.021580753251977693,39.4785971150349,-54.56180794459142
SPY210416C00389000,2021-03-19 17:52:48,389.0,8.24,8.15,8.18,-0.1800003,-2.137771,3027.0,3910,0.1645591357421875,True,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,8.165,c,0.1806383352279663,8.177380461045642,8.152793082359771,8.165116602715637,0.5502708371455746,0.021784219438761725,39.70855627439409,-54.81262722908457
SPY210416C00390000,2021-03-19 17:59:18,390.0,7.5,7.49,7.5,-0.52000046,-6.4837956,8711.0,19440,0.1609580975341797,True,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,7.495,c,0.1768960485458374,7.496763081603823,7.472234581245135,7.484530933152914,0.5285896301748256,0.02239935332476882,39.93707536822475,-54.05006961409638
SPY210416C00391000,2021-03-19 17:58:42,391.0,6.84,6.82,6.83,-0.37999964,-5.263153,11028.0,8157,0.1570518865966797,False,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,6.825,c,0.172618332862854,6.806551031897049,6.782287833543504,6.794452822083734,0.5059596691747024,0.023078074323961008,40.11681707379747,-53.026942809564524
SPY210416C00392000,2021-03-19 17:58:46,392.0,6.24,6.2,6.21,-0.4300003,-6.446781,5288.0,10590,0.15375602111816405,False,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,6.205,c,0.16902085971832276,6.212513471340962,6.189165983917669,6.20086949197984,0.4824179137566439,0.02345928010103071,39.98140667865652,-51.67248120704381
SPY210416C00393000,2021-03-19 17:58:48,393.0,5.68,5.69,5.7,-0.5,-8.090615,4597.0,11582,0.1524742956542969,False,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,5.695,c,0.16758796787261965,5.7045372242433485,5.681802152453605,5.693196240414425,0.45862714135737565,0.023546199982951432,39.84345393009002,-50.97937146067663
SPY210416C00394000,2021-03-19 17:59:18,394.0,5.16,5.16,5.18,-0.47000027,-8.34814,4753.0,8888,0.1503686038208008,False,REGULAR,USD,2021-04-16 00:00:00,0.06553216698545537,390.8500061035156,5.17,c,0.16515853023529053,5.156852257293601,5.134562593155415,5.14573121785448,0.43393193902941124,0.023770113919684636,39.700836360315726,-49.9789903689041
