contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,t2m,s0,market_price,type,vol,EFD,IFD,CNFD,delta,gamma,vega,theta
SPY210618P00385000,2021-03-19 17:47:12,385.0,12.5,12.61,12.65,-1.0,-7.4074073,1606.0,29355,0.19834175689697264,False,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,12.629999999999999,p,0.20415910243988034,12.636556173538851,12.622642904817361,12.629603709868913,-0.419637172560534,0.010025330823796127,74.70711511376467,-31.852376080913682
SPY210618P00386000,2021-03-19 17:25:26,386.0,12.85,12.95,12.99,-1.0999994,-7.8853,209.0,2124,0.19672434143066403,False,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,12.969999999999999,p,0.2025051794052124,12.969005568999979,12.955019642315541,12.962017037993991,-0.4295598250624463,0.010161151593526208,75.04832240507106,-31.760115529515637
SPY210618P00387000,2021-03-19 17:53:32,387.0,13.12,13.28,13.32,0.72000027,5.806454,59.0,7793,0.1948475291442871,False,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,13.3,p,0.20059211635589597,13.28949999542839,13.275429530898577,13.2824694482249,-0.4396271229050804,0.010307750429039357,75.36129313690182,-31.60952556438593
SPY210618P00388000,2021-03-19 17:14:50,388.0,13.7,13.55,13.59,-1.1000004,-7.432435,96.0,7613,0.19208571594238283,False,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,13.57,p,0.19776063060760501,13.573048779990142,13.559050880740125,13.566054591682612,-0.4498821973492336,0.010483606233310865,75.5456994494466,-31.243479423455423
SPY210618P00389000,2021-03-19 17:38:02,389.0,13.9,13.96,14.0,-0.4800005,-3.3379729,118.0,4832,0.19101761138916018,False,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,13.98,p,0.19665738010406492,13.986796253159063,13.972799928926563,13.979802937610488,-0.46043858272941146,0.010571425792438693,75.73183517607404,-31.15126618113048
SPY210618P00390000,2021-03-19 17:54:00,390.0,14.16,14.35,14.39,-0.5600004,-3.8043506,2930.0,40001,0.1895527822875977,False,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,14.370000000000001,p,0.19515589237213132,14.370095618273751,14.356129657717894,14.363117559691947,-0.4711317429732335,0.01068221125615696,75.91913960252,-30.995186430130143
SPY210618P00391000,2021-03-19 17:56:49,391.0,14.73,14.78,14.83,-0.37000084,-2.4503367,33.0,6113,0.18857622955322267,True,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,14.805,p,0.19410980510711667,14.794029755488522,14.780027003425234,14.787033393380192,-0.48193397937133065,0.01076489453101758,76.08118835991607,-30.897792999126672
SPY210618P00392000,2021-03-19 17:13:33,392.0,15.36,15.19,15.24,-0.64000034,-4.000002,106.0,0,0.1871114004516602,True,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,15.215,p,0.19259688472747805,15.218276550518087,15.204426629541762,15.2113564628947,-0.49288203199611896,0.010848331418045446,76.09498383954111,-30.649196301643492
SPY210618P00393000,2021-03-19 14:14:37,393.0,16.59,15.6,15.65,0.0,0.0,71.0,12734,0.18549398498535152,True,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,15.625,p,0.19094296169281005,15.631517202161637,15.617830722668186,15.624678690284568,-0.5040324270397569,0.010940896492074883,76.10763615480603,-30.377314349981834
SPY210618P00394000,2021-03-19 17:33:01,394.0,15.87,16.02,16.06,-1.46,-8.424697,15.0,9004,0.18372398315429686,True,REGULAR,USD,2021-06-18 00:00:00,0.238020307377151,390.8500061035156,16.04,p,0.1892128210067749,16.038675938391584,16.025107654539898,16.031896411815193,-0.5153965910623685,0.011039160660256989,76.11910771166535,-30.092480492178684
