t2m,strike,type,ask,bid,market_price,vol,EFD,IFD,CNFD
0.156,385.0,c,15.45,15.4,15.425,0.2006,15.4333,15.4167,15.425
0.156,386.0,c,14.7,14.66,14.68,0.1974,14.6804,14.6637,14.672
0.156,387.0,c,14.06,14.01,14.035,0.1957,14.0203,14.0034,14.0119
0.156,388.0,c,13.33,13.28,13.305,0.1924,13.308,13.2912,13.2996
0.156,389.0,c,12.74,12.69,12.715,0.1912,12.7233,12.7065,12.7149
0.156,390.0,c,12.0,11.96,11.98,0.1875,11.9806,11.9639,11.9722
0.156,391.0,c,11.48,11.43,11.455,0.1869,11.4419,11.4252,11.4336
0.156,392.0,c,10.87,10.82,10.845,0.1847,10.8495,10.8329,10.8412
0.156,393.0,c,10.22,10.17,10.195,0.1817,10.2025,10.1863,10.1944
0.156,394.0,c,9.58,9.55,9.565,0.1788,9.5607,9.5448,9.5528
